DE_data,fault
0.1472824615384615,7_OR3
-0.1401895384615384,7_OR3
0.1368516923076923,7_OR3
0.3006147692307692,7_OR3
-0.2584744615384615,7_OR3
0.2753723076923077,7_OR3
0.1214141538461538,7_OR3
0.0331698461538461,7_OR3
0.4366319999999999,7_OR3
0.1063938461538461,7_OR3
0.0448523076923077,7_OR3
0.1981846153846153,7_OR3
0.0544486153846153,7_OR3
0.0356732307692307,7_OR3
0.1147384615384615,7_OR3
0.3508910769230769,7_OR3
0.0348387692307692,7_OR3
0.1164073846153846,7_OR3
0.1579218461538461,7_OR3
0.2716172307692308,7_OR3
0.1933864615384615,7_OR3
0.161676923076923,7_OR3
0.0281630769230769,7_OR3
-0.1040990769230769,7_OR3
0.1990190769230769,7_OR3
-0.0087618461538461,7_OR3
-0.0177323076923076,7_OR3
-0.2686966153846153,7_OR3
0.4078430769230769,7_OR3
-0.0239907692307692,7_OR3
-0.023364923076923,7_OR3
0.0709292307692307,7_OR3
-0.2059033846153846,7_OR3
0.6398233846153846,7_OR3
-0.3058301538461538,7_OR3
0.0986750769230769,7_OR3
0.1852504615384615,7_OR3
0.0788566153846153,7_OR3
0.348804923076923,7_OR3
0.111192,7_OR3
0.0788566153846153,7_OR3
0.050484923076923,7_OR3
0.1360172307692307,7_OR3
0.1633458461538461,7_OR3
0.2999889230769231,7_OR3
0.0636276923076923,7_OR3
0.1243347692307692,7_OR3
0.2720344615384615,7_OR3
0.4249495384615384,7_OR3
0.0306664615384615,7_OR3
-0.2601433846153846,7_OR3
0.1151556923076923,7_OR3
-0.0988836923076923,7_OR3
-0.0429747692307692,7_OR3
-0.034212923076923,7_OR3
0.1028473846153846,7_OR3
0.1270467692307692,7_OR3
0.12204,7_OR3
0.2296855384615384,7_OR3
0.1401895384615384,7_OR3
0.0490246153846153,7_OR3
-0.1760713846153846,7_OR3
-0.1059766153846153,7_OR3
0.2152910769230769,7_OR3
0.0903304615384615,7_OR3
0.073224,7_OR3
-0.0742670769230769,7_OR3
0.1560443076923076,7_OR3
0.0700947692307692,7_OR3
0.0496504615384615,7_OR3
0.2778756923076922,7_OR3
0.1533323076923076,7_OR3
-0.0262855384615384,7_OR3
-0.1900486153846153,7_OR3
0.3389999999999999,7_OR3
0.2115359999999999,7_OR3
-0.0625846153846153,7_OR3
-0.2906012307692308,7_OR3
0.3723784615384615,7_OR3
0.237612923076923,7_OR3
0.2826738461538461,7_OR3
0.0602898461538461,7_OR3
0.0219046153846153,7_OR3
0.6024812307692308,7_OR3
0.1960984615384615,7_OR3
0.2257218461538461,7_OR3
0.1769058461538461,7_OR3
0.0988836923076923,7_OR3
-0.0438092307692307,7_OR3
0.0765618461538461,7_OR3
0.048816,7_OR3
-0.5607581538461538,7_OR3
-0.0544486153846153,7_OR3
-0.0381766153846153,7_OR3
-0.0609156923076923,7_OR3
0.096588923076923,7_OR3
0.1817039999999999,7_OR3
0.2123704615384615,7_OR3
0.0627932307692307,7_OR3
0.2209236923076923,7_OR3
0.2259304615384615,7_OR3
0.1051421538461538,7_OR3
0.017940923076923,7_OR3
0.279336,7_OR3
0.066756923076923,7_OR3
0.0202356923076923,7_OR3
0.0394283076923076,7_OR3
0.1798264615384615,7_OR3
0.3588184615384616,7_OR3
0.0308750769230769,7_OR3
0.0999267692307692,7_OR3
-0.0550744615384615,7_OR3
0.0465212307692307,7_OR3
0.2382387692307692,7_OR3
-0.0953372307692307,7_OR3
0.0851150769230769,7_OR3
0.1975587692307692,7_OR3
0.0753101538461538,7_OR3
